net,length_um
net10,24.68µm
_0032_,24.65µm
_0982_,24.54µm
_1229_,24.52µm
_0455_,24.48µm
_1041_,24.38µm
_0484_,24.22µm
_0766_,24.2µm
_0246_,24.16µm
_0833_,24.11µm
_0260_,24.1µm
_0764_,24.02µm
_0336_,23.92µm
_1015_,23.86µm
_0374_,23.76µm
_0580_,23.64µm
_1156_,23.58µm
_0403_,23.34µm
_1357_,23.3µm
_0415_,23.22µm
_0568_,23.16µm
_0215_,23.1µm
_0591_,23.08µm
_0218_,22.93µm
_0326_,22.92µm
_0110_,22.6µm
_0144_,22.6µm
_0346_,22.26µm
_1069_,22.12µm
_0127_,22.1µm
_0083_,22.04µm
_0265_,21.96µm
_0611_,21.92µm
_0092_,21.84µm
_0241_,21.76µm
_0859_,21.74µm
_0482_,21.7µm
_0587_,21.7µm
_0395_,21.62µm
_0710_,21.6µm
graphics_core.y\[4\],21.56µm
_1076_,21.5µm
_0563_,21.46µm
_1205_,21.38µm
_0941_,21.22µm
_0847_,21.2µm
_1362_,21.2µm
_1065_,21.16µm
_0975_,21.14µm
_1356_,21.045µm
_0976_,21µm
_0854_,20.92µm
_1135_,20.82µm
_0555_,20.7µm
_0687_,20.66µm
_0885_,20.66µm
_0756_,20.56µm
_0238_,20.53µm
_0816_,20.52µm
_0721_,20.24µm
_0247_,20.2µm
_1039_,20.08µm
_0432_,20µm
_0931_,19.98µm
_0129_,19.94µm
_1243_,19.81µm
_1104_,19.78µm
_1224_,19.78µm
_0280_,19.76µm
_0713_,19.74µm
_0214_,19.66µm
_0490_,19.64µm
_0892_,19.63µm
_0993_,19.62µm
_1074_,19.62µm
_0707_,19.46µm
_0570_,19.405µm
_0021_,19.4µm
_0936_,19.32µm
_0536_,19.26µm
_0746_,19.25µm
_0352_,19.22µm
_1066_,19.16µm
_0076_,19.04µm
_0829_,18.925µm
_0771_,18.84µm
_0705_,18.74µm
_0269_,18.7µm
_0948_,18.66µm
_0631_,18.6µm
_0879_,18.44µm
_0779_,18.38µm
_0321_,18.18µm
_1370_,18.14µm
_0686_,18.1µm
_1372_,18.1µm
_0236_,18.08µm
_1238_,18.08µm
_0575_,18.04µm
_1348_,17.98µm
_0556_,17.94µm
_1369_,17.905µm
_0999_,17.88µm
_1142_,17.78µm
_0891_,17.72µm
_1119_,17.72µm
_0387_,17.7µm
_1169_,17.5µm
_1310_,17.5µm
