Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_35,VGND,li1,19.5500,168.6400,0.000003
FILLER_60_32,VGND,li1,18.1700,168.6400,0.000003
FILLER_60_29,VGND,li1,16.7900,168.6400,0.000003
FILLER_60_27,VGND,li1,15.4100,168.6400,0.000003
FILLER_60_24,VGND,li1,14.4900,168.6400,0.000003
FILLER_60_21,VGND,li1,13.1100,168.6400,0.000003
FILLER_60_18,VGND,li1,11.7300,168.6400,0.000003
FILLER_60_15,VGND,li1,10.3500,168.6400,0.000003
FILLER_60_12,VGND,li1,8.9700,168.6400,0.000003
FILLER_60_9,VGND,li1,7.5900,168.6400,0.000003
FILLER_60_6,VGND,li1,6.2100,168.6400,0.000003
FILLER_60_3,VGND,li1,4.8300,168.6400,0.000003
FILLER_59_355,VGND,li1,166.7500,168.6400,0.000004
FILLER_59_352,VGND,li1,165.3700,168.6400,0.000004
FILLER_59_349,VGND,li1,163.9900,168.6400,0.000004
FILLER_59_346,VGND,li1,162.6100,168.6400,0.000004
FILLER_59_343,VGND,li1,161.2300,168.6400,0.000004
FILLER_59_340,VGND,li1,159.8500,168.6400,0.000004
FILLER_59_337,VGND,li1,158.4700,168.6400,0.000004
FILLER_59_335,VGND,li1,157.0900,168.6400,0.000004
FILLER_59_332,VGND,li1,156.1700,168.6400,0.000004
FILLER_59_329,VGND,li1,154.7900,168.6400,0.000004
FILLER_59_326,VGND,li1,153.4100,168.6400,0.000004
FILLER_59_323,VGND,li1,152.0300,168.6400,0.000004
FILLER_59_320,VGND,li1,150.6500,168.6400,0.000004
FILLER_59_317,VGND,li1,149.2700,168.6400,0.000004
FILLER_59_314,VGND,li1,147.8900,168.6400,0.000004
FILLER_59_311,VGND,li1,146.5100,168.6400,0.000004
FILLER_59_308,VGND,li1,145.1300,168.6400,0.000004
FILLER_59_305,VGND,li1,143.7500,168.6400,0.000004
FILLER_59_302,VGND,li1,142.3700,168.6400,0.000004
FILLER_59_299,VGND,li1,140.9900,168.6400,0.000004
FILLER_59_296,VGND,li1,139.6100,168.6400,0.000004
FILLER_59_293,VGND,li1,138.2300,168.6400,0.000004
FILLER_59_290,VGND,li1,136.8500,168.6400,0.000005
FILLER_59_287,VGND,li1,135.4700,168.6400,0.000005
FILLER_59_284,VGND,li1,134.0900,168.6400,0.000006
FILLER_59_281,VGND,li1,132.7100,168.6400,0.000006
FILLER_59_279,VGND,li1,131.3300,168.6400,0.000006
FILLER_59_276,VGND,li1,130.4100,168.6400,0.000007
